,Security Id,Security Name,Group,Industry
611,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd,A ,Finance (including NBFCs)
613,VLSFINANCE,VLS FINANCE LTD.,B ,Other Financial Services
614,MEGLON,MEGLON INFRA-REAL (INDIA) LTD.,XT,Finance (including NBFCs)
615,MEHIF,MEHTA INTEGRATED FINANCE LTD.,XT,Finance (including NBFCs)
616,VIDEOIND,VIDEOCON INDUSTRIES LTD.,A ,Consumer Electronics
617,INTRGLB,INTER GLOBE FINANCE LTD.,XT,Finance (including NBFCs)
618,CREST,CREST VENTURES LIMITED,B ,Finance (including NBFCs)
619,VAKRANGEE,Vakrangee Limited-$,A ,Specialty Retail
620,GUJCRED,GUJARAT CREDIT CORPORATION LTD.,XT,Other Financial Services
621,DHARFIN,DHARANI FINANCE LTD.,XT,Finance (including NBFCs)
622,INDBANK,INDBANK MERCHANT BANKING SERVICES LTD.,B ,Other Financial Services
623,VCKCAP,VCK CAPITAL MARKET SERVICES LTD.,XT,Finance (including NBFCs)
624,CAPITALT,CAPITAL TRUST LTD.,B ,Finance (including NBFCs)
625,USHAKIRA,USHAKIRAN FINANCE LTD.,XT,Finance (including NBFCs)
626,VIVOBIOT,VIVO BIO TECH LTD.,XT,Biotechnology
627,SUPRATRE,Supra Trends Limited,XT,Other Financial Services
628,MORARKFI,MORARKA FINANCE LTD.,XT,Finance (including NBFCs)
629,PROFINC,PRO FIN CAPITAL SERVICES LTD.,XT,Misc.Commercial Services
630,TIMESGTY,TIMES GUARANTY LTD.,B ,Finance (including NBFCs)
631,SODFC,SOM DATT FINANCE CORPORATION LTD.,XT,Finance (including NBFCs)
632,SAVFI,SAVANI FINANCIALS LTD.,XT,Finance (including NBFCs)
633,PALSOFT,PALSOFT INFOSYSTEMS LTD.,XT,Finance (including NBFCs)
634,DCMFINSERV,DCM FINANCIAL SERVICES LTD.,B ,Finance (including NBFCs)
635,SAMBHAAV,SAMBHAAV MEDIA LTD.,B ,Publishing
638,SCANSTL,Scan Steels Limited,XT,Iron &amp; Steel/Interm.Products
639,GICHSGFIN,GIC HOUSING FINANCE LTD.,B ,Housing Finance 
640,MATHEWE,MATHEW EASOW RESEARCH SECURITIES LTD.,XT,Finance (including NBFCs)
641,STANCAP,STANDARD CAPITAL MARKETS LTD.,XT,Finance (including NBFCs)
642,VIPUL,VIPUL LTD.,B ,Realty
644,USHDI,USHDEV INTERNATIONAL LTD.,XT,Comm.Trading  &amp; Distribution
645,MEHSECU,MEHTA SECURITIES LTD.,XT,Other Financial Services
646,MEHTAHG,MEHTA HOUSING FINANCE LTD.,XT,Housing Finance 
647,MANSIFIN,MANSI FINANCE (CHENNAI) LTD.,XT,Finance (including NBFCs)
648,SEVENHILL,Seven Hill Industries Limited,XT,Finance (including NBFCs)
649,UPASAFN,UPASANA FINANCE LTD.,XT,Finance (including NBFCs)
650,MUTHTFN,MUTHOOT CAPITAL SERVICES LTD.,B ,Finance (including NBFCs)
651,AMANITRA,AMANI TRADING &amp; EXPORTS LTD.,XT,Comm.Trading  &amp; Distribution
653,SOBME,SOBHAGYA MERCHANTILE LTD.,XT,Misc.Commercial Services
657,KAPILCO,KAPIL COTEX LTD.,XT,Textiles
658,ASWTR,AASWA TRADING &amp; EXPORTS LTD.,P ,Comm.Trading  &amp; Distribution
659,ZSANMCOM,SANMITRA COMMERCIAL LTD.,XT,Misc.Commercial Services
663,UPL,UPL Limited,A ,Agrochemicals
664,ANSHNCO,ANSHUNI COMMERCIALS LTD.,P ,Other Apparels &amp; Accessories
665,CRANESSOFT,CRANES SOFTWARE INTERNATIONAL LTD.,B ,IT Software Products
667,TRIPR,TRIOCHEM PRODUCTS LTD.,XT,Pharmaceuticals
668,NIDHGRN,NIDHI GRANITES LTD.,XT,Construction Materials
669,TWIROST,TWIN ROSES TRADES &amp; AGENCIES LTD.,P ,Misc.Commercial Services
670,SIGNETIND,Signet Industries Limited,T ,Plastic Products
671,SPECMKT,SPECULAR MARKETING &amp; FINANCING LTD.,P ,Misc.Commercial Services
674,ABANSENT,ABans Enterprises Ltd,XT,Comm.Trading  &amp; Distribution
675,MATRAREAL,MATRA REALTY LTD.,XT,Finance (including NBFCs)
676,CAPRICORN,CAPRICORN SYSTEMS GLOBAL SOLUTIONS LTD.,XT,Misc.Commercial Services
677,VAMA,VAMA INDUSTRIES LTD.,XT,IT Consulting &amp; Software
678,SUNTECK,SUNTECK REALTY LTD.,B ,Realty
679,BENTCOM,BENTLEY COMMERCIAL ENTERPRISES LTD.,P ,Misc.Commercial Services
680,SILVERO,SILVER OAK COMMERCIAL LTD.,XT,Finance (including NBFCs)
681,CLASELE,CLASSIC ELECTRICALS LTD.,P ,Comm.Trading  &amp; Distribution
683,VERITAS,VERITAS (INDIA) LTD.,XT,Consulting Services
685,JAICORPLTD,JAI CORP LTD.,B ,Iron &amp; Steel/Interm.Products
686,ZNIVITRD,NIVI TRADING LTD.,P ,Misc.Commercial Services
689,AUTOINT,AUTORIDERS INTERNATIONAL LTD.,P ,Transportation - Logistics
690,NNTL,N2N Technologies Limited,Z ,Misc.Commercial Services
691,SHIRPUR-G,SHIRPUR GOLD REFINERY LTD.,B ,Other Non-Ferrous Metals
693,BHAGYNAGAR,BHAGYANAGAR INDIA LTD.,B ,Copper
695,KRL,Kintech Renewables Ltd,XT,Misc.Commercial Services
698,SWORDEDGE,Sword-Edge Commercials Limited,XT,Comm.Trading  &amp; Distribution
702,KAPASHI,KAPASHI COMMERCIALS LTD.,XT,Other Financial Services
703,IPOWER,I-POWER SOLUTIONS INDIA LTD.,XT,Internet Software &amp; Services
704,UNIWSEC,UNIWORTH SECURITIES LTD.,XT,Textiles
708,ENBETRD,ENBEE TRADE &amp; FINANCE LTD.,XT,Misc.Commercial Services
711,SHRJAGP,SHRI JAGDAMBA POLYMERS LTD.,XT,Containers &amp; Packaging
712,SHRGLTR,SHREE GLOBAL TRADEFIN LTD.,XT,Finance (including NBFCs)
713,GYTRIPA,GAYATRI TISSUE &amp; PAPERS LTD.,XT,Realty
715,OASISEC,OASIS SECURITIES LTD.,XT,Finance (including NBFCs)
716,VARUNME,VARUN MERCANTILE LTD.,P ,Misc.Commercial Services
717,DONEAR,DONEAR INDUSTRIES LTD.-$,T ,Textiles
718,SEQUENT,SEQUENT SCIENTIFIC LTD.,B ,Pharmaceuticals
719,STCINDIA,STATE TRADING CORPORATION OF INDIA LTD.,T ,Comm.Trading  &amp; Distribution
720,ZENITHEXPO,ZENITH EXPORTS LTD.,B ,Textiles
722,AVANTI,AVANTI FEEDS LTD.-$,B ,Other Food Products
723,GUJNRECOKE,GUJARAT NRE COKE LTD.,T ,Coal
724,ZODJRDMKJ,ZODIAC-JRD-MKJ LTD.,B ,Other Apparels &amp; Accessories
725,PULSRIN,PULSAR INTERNATIONAL LTD.,P ,Comm.Trading  &amp; Distribution
727,ADANIENT,ADANI ENTERPRISES LTD.,A ,Comm.Trading  &amp; Distribution
728,MACINTR,MACRO (INTERNATIONAL) EXPORTS LTD.,XT,Comm.Trading  &amp; Distribution
729,BHANDHOS,BHANDARI HOSIERY EXPORTS LTD.,T ,Other Apparels &amp; Accessories
730,RLF,RLF LTD.,XT,Textiles
731,REGENTRP,Regent Enterprises Ltd,XT,Other Financial Services
732,ORBTEXP,ORBIT EXPORTS LTD.,B ,Textiles
733,VBCFERROQ,VBC FERRO ALLOYS LTD.-$,XT,Iron &amp; Steel/Interm.Products
735,ZJEETMAC,JEET MACHINE TOOLS LTD.,XT,Comm.Trading  &amp; Distribution
736,NBVENTURES,NAVA BHARAT VENTURES LTD.,B ,Electric Utilities
738,TRANSFRE,TRANS-FREIGHT CONTAINERS LTD.,XT,Iron &amp; Steel Products
739,GANDHITUBE,GANDHI SPECIAL TUBES LTD.-$,B ,Iron &amp; Steel Products
740,ABCGAS,ABC GAS (INTERNATIONAL) LTD.,XT,Copper
741,ORICON,ORICON ENTERPRISES LTD.-$,B ,Specialty Chemicals
742,ACROW,ACROW INDIA LTD.,XT,Iron &amp; Steel Products
743,STINDIA,STI INDIA LTD.,B ,Textiles
744,NATNLSTEEL,NATIONAL STEEL &amp; AGRO INDUSTRIES LTD.,B ,Iron &amp; Steel/Interm.Products
745,UTTAMSTL,UTTAM GALVA STEELS LTD.,B ,Iron &amp; Steel/Interm.Products
746,PENIND,PENNAR INDUSTRIES LTD.-$,B ,Iron &amp; Steel/Interm.Products
747,JYOTISTRUC,JYOTI STRUCTURES LTD.,B ,Heavy Electrical Equipment
748,JAYUSH,JAY USHIN LTD.,XT,Auto Parts &amp; Equipment
749,SSWL,STEEL STRIPS WHEELS LTD.-$,B ,Auto Parts &amp; Equipment
750,MANINDS,MAN INDUSTRIES (INDIA) LTD.-$,B ,Construction &amp; Engineering
751,PREMPIPES,PREMIER PIPES LTD.,XT,Iron &amp; Steel Products
752,SYNTHFO,SYNTHIKO FOILS LTD.,XT,Aluminium
753,GOLKONDA,Golkonda Aluminium Extrusions Ltd-$,Z ,Aluminium
754,METALFORGE,Metalyst Forgings Limited,T ,Other Industrial Products
755,GUJTLRM,GUJARAT TOOLROOM LTD.,XT,Plastic Products
756,AJMERA,AJMERA REALTY &amp; INFRA INDIA LTD.,B ,Realty
757,RJKMRFR,RAJKUMAR FORGE LTD.,XT,Other Industrial Products
758,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.,A ,Other Industrial Products
