,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
6146,539201,SATIA,Satia Industries Ltd,Active,XT,10.0,INE170E01015,Paper &amp; Paper Products,Equity
6151,539206,GVBL,Genomic Valley Biotech Ltd,Active,XT,10.0,INE574D01010,Biotechnology,Equity
6152,539207,MANPASAND,Manpasand Beverages Ltd,Active,B ,10.0,INE122R01018,Non-alcoholic Beverages,Equity
6153,539216,JUNCTION,Junction Fabrics and Apparels Ltd,Active,M ,10.0,INE653S01010,Textiles,Equity
6154,539219,MUL,Mauria Udyog Ltd,Active,XT,10.0,INE150D01019,Other Industrial Products,Equity
6155,539220,MISHKA,Mishka Exim Ltd,Active,B ,10.0,INE540S01019,Other Apparels &amp; Accessories,Equity
6156,539221,SPORTKING,Sportking India Ltd,Active,XT,10.0,INE885H01011,Textiles,Equity
6157,539222,VMV,VMV Holidays Ltd,Active,M ,10.0,INE451S01019,Travel Support Services,Equity
6158,539223,AMBITION,Ambition Mica Ltd,Active,M ,10.0,INE563S01011,Paper &amp; Paper Products,Equity
6159,539225,JIYAECO,Jiya Eco-Products Ltd,Active,M ,10.0,INE023S01016,Utilities:Non-Elec.,Equity
6160,539226,MDINDUCTO,M.D. Inducto Cast Ltd,Active,B ,10.0,INE027T01015,Iron &amp; Steel/Interm.Products,Equity
6161,539227,LOYAL,Loyal Equipments Ltd,Active,M ,10.0,INE876S01017,Industrial Machinery,Equity
6162,539228,GGPL,Gala Global Products Ltd,Active,B ,10.0,INE480S01018,Comm.Printing/Stationery,Equity
6163,539229,MRSS,Majestic Research Services and Solutions Ltd,Active,M ,10.0,INE196R01012,Diversified,Equity
6164,539230,CHEMIESYNT,Chemiesynth (Vapi) Ltd,Active,XT,10.0,INE829R01018,Specialty Chemicals,Equity
6165,539246,JEL,Jyotirgamya Enterprises Ltd,Active,XT,10.0,INE805R01018,Comm.Trading  &amp; Distribution,Equity
6166,539251,BALKRISHNA,Balkrishna Paper Mills Ltd,Active,B ,10.0,INE875R01011,Containers &amp; Packaging,Equity
6167,539252,SCFL,Shyam Century Ferrous Ltd,Active,T ,1.0,INE979R01011,Iron &amp; Steel/Interm.Products,Equity
6168,539253,SURYAINDIA,Surya India Ltd,Active,XT,10.0,INE446E01019,Finance (including NBFCs),Equity
6169,539254,ADANITRANS,Adani Transmission Ltd,Active,A ,10.0,INE931S01010,Electric Utilities,Equity
6170,539265,AMRAFIN,Amrapali Fincap Ltd,Active,M ,10.0,INE990S01016,Finance (including NBFCs),Equity
